Marker,Category,CanonicalDomain,DSM5_Tags,Description,Source Instrument,Notes
Responding to Joint Attention (RJA),Early Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","The child's ability to follow another person's direction of gaze, point, or other cue to share attention","ESCS, ADOS",Prospective studies report lower levels of RJA in children with ASD as early as 14 months
Initiating Joint Attention (IJA),Early Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","The child's use of gestures, gaze shifts, and vocalizations to direct another's attention to an object or event","ESCS, ADOS",Found to be impaired in children with ASD as early as 14 months. A slower growth trajectory is also a marker
Reduced Frequency of Gestures,Early Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Using fewer communicative gestures overall during the second year of life,CSBS DP,Prospective studies note this differentiates ASD from TD and other DDs
Directed Vocalizations,Early Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Vocalizations clearly directed toward another person,Clinical Observation,Research found group differences by 12 months
Unusual Sensory Responses,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Oversensitivity or undersensitivity to noise, textures, or other sensory input","M-CHAT, ADOS-2",Item 11: Does your child ever seem oversensitive to noise? Coded in the RRB domain as Sensory Interests
Unusual Finger/Hand Mannerisms,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Repetitive, stereotyped movements of the fingers or hands","M-CHAT, ADOS-2",Item 18: Does your child make unusual finger movements near his/her face? Coded in the RRB domain as Hand and Finger Mannerisms
Repetitive Interests & Stereotyped Behaviors,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Preoccupation with restricted patterns of interest, non-functional routines, or repetitive actions",ADOS-2,Coded in the RRB domain. A code of 2 or 3 indicates definite to marked abnormality
Unusual Sensory Interest in Play,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Excessive smelling, rubbing, or visual inspection of toys or surfaces",ADOS-2,Coded in the RRB domain as Sensory Interests
Atypical Object Exploration,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Spinning, rotating, lining up, or unusual visual inspection of objects (e.g., from odd angles)",Clinical Observation,Identified in research as a marker at 12 months. Includes prolonged visual fixation
Repetitive Behavior with Objects,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Repetitive and stereotyped actions involving toys, such as spinning wheels repeatedly",CSBS DP,Research cited. Higher frequency and duration in ASD at 18-24 months
Preference for Geometric Patterns,Object & Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","A visual preference for dynamic geometric images over social images (e.g., children dancing)",Eye-Tracking Studies,Research cited. Can distinguish toddlers with ASD as young as 14 months
Pretend Play,Play & Imagination,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Engaging in imaginative or make-believe play, either alone or with others","M-CHAT, ADOS-2",Item 5: Does your child ever pretend? Coded in the Social Affect domain. A code of 2 or 3 indicates a lack of imaginative play
Functional Play,Play & Imagination,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Using toys for their intended purpose (e.g., rolling a car, building with blocks)","M-CHAT, ADOS-2",Item 8: Can your child play properly with small toys? Coded in the Social Affect domain
Protoimperative Pointing,Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']",Using index finger to point to request a desired object,M-CHAT,"Item 6: Does your child ever use his/her index finger to point, to ask for something?"
Verbal Communication,Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']","Overall level and quality of spoken language, including phrase speech and fluency",ADOS-2,Used to select the appropriate ADOS-2 Module (1-4)
Reciprocal Conversation,Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']",Ability to engage in a back-and-forth conversational exchange,ADOS-2,Coded in the Social Affect domain for Modules 3 & 4
Gestures,Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']",Use of conventional and descriptive gestures to communicate,ADOS-2,Coded in the Social Affect domain
Prespeech Vocalizations,Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']",Reduced variety of consonants and canonical syllables in babbling,Vocal Analysis,Research cited. Differences in the first year associated with outcomes
Atypical Motor Movements,Motor Development & Atypical Movements,Motor,['developmental_motor_markers'],"Unusual climbing, rocking, or spinning",M-CHAT,"Item 3: Does your child like climbing on things? (Note: May be typical, but can be atypical in pattern/intensity)"
Head Lag,Motor Development & Atypical Movements,Motor,['developmental_motor_markers'],Persistence of head lag when pulled to sit from a supine position beyond 6 months,Clinical Observation,Research cited. A preliminary motor marker in high-risk infants
Atypical Gait,Motor Development & Atypical Movements,Motor,['developmental_motor_markers'],"Problems with heel-to-toe pattern, asymmetric arm posture, or general movement anomalies (e.g., waddling) after walking is established",Clinical Observation,Research cited. Observed in toddlers with ASD
General Motor Delays,Motor Development & Atypical Movements,Motor,['developmental_motor_markers'],Delays in the acquisition of gross and/or fine motor skills,"MSEL, BSID-II",Research cited. High-risk infants with ASD show reduced motor skills by 14-24 months
Negative Affect & Difficulty Controlling Attention,Temperament & Regulatory Patterns,Temperament_Regulation,['associated_regulatory_patterns'],"Temperament profile marked by higher negative affect, distress, and difficulty controlling attention and behavior","IBQ, TBAQ",Research cited. Can distinguish high-risk siblings with ASD by 24 months
Reduced Positive Affect & Passivity,Temperament & Regulatory Patterns,Temperament_Regulation,['associated_regulatory_patterns'],"Temperament characterized by marked passivity, decreased activity level, and reduced expression of positive affect",IBQ,Research cited. Noted as early as 6-12 months
Emotional Dysregulation,Temperament & Regulatory Patterns,Temperament_Regulation,['associated_regulatory_patterns'],"A pervasive pattern of being prone to distress, marked irritability, and intolerance to intrusions",IBQ,Research cited. Predictive of ASD within high-risk cohorts
Lower Sensitivity to Social Reward,Temperament & Regulatory Patterns,Temperament_Regulation,['associated_regulatory_patterns'],Reduced behavioral approach and lower sensitivity to social cues and rewards,IBQ-R,Research cited. One of two temperament profiles distinguishing ASD
Atypical Trajectory of Social Communication,Developmental Trajectories,Developmental_Trajectory,['developmental_regression_or_plateau'],"Declining or plateauing trajectory of social gaze, social smiling, and vocalizations between 6-18 months",Longitudinal Assessment,Research cited. Monitoring change over time is a sensitive risk indicator
Atypical Trajectory of Language/Cognition,Developmental Trajectories,Developmental_Trajectory,['developmental_regression_or_plateau'],"Slowing acquisition of new verbal and nonverbal skills during the second year of life, after a relatively typical first year","MSEL, BSID-II",Research cited. Declining standard scores are predictive
Gaze to Faces,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Frequency of the infant's gaze directed toward the face of an examiner during a structured task.,nihms224959.pdf,"Highly comparable to TD at 6 months, but shows a significantly declining trajectory thereafter."
Social Smiles,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Co-occurrence of a smile and gaze to a face. Represents shared positive affect.,nihms224959.pdf,Defined by behavioral coding. Declines significantly after 6 months in ASD group.
Directed Vocalizations,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Vocalizations (nonverbal, words, or phrases) that co-occur with gaze to a face.",nihms224959.pdf,Defined by behavioral coding. Declines significantly after 6 months in ASD group.
Examiner-Rated Social Engagement,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Global clinician rating of frequency of eye contact, shared affect, and overall social responsiveness.",nihms224959.pdf,Rated at the end of a clinical session. Highly correlated with coded behaviors and shows decline in ASD.
Response to Name,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Lack of response to name by 9 months of age.,cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Deficits in Social-Emotional Reciprocity,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Abnormal social approach; failure of normal back-and-forth conversation; reduced sharing of interests, emotions, or affect; failure to initiate or respond to social interactions.",cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for social communication deficits.
Deficits in Nonverbal Communication,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Poorly integrated verbal and nonverbal communication; abnormalities in eye contact and body language; deficits in understanding and use of gestures; total lack of facial expressions.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for social communication deficits.
Deficits in Relationships,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Difficulties adjusting behavior to suit various social contexts; difficulties in sharing imaginative play or making friends; absence of interest in peers.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for social communication deficits.
Lack of Interactive Play,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Absence of participation in simple interactive games like ""pat-a-cake"" by 12 months.",cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Lack of Pretend Play,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","No engagement in pretend play (e.g., assuming roles like teacher or superhero) by 48 months.",cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Limited Gestures,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Limited use of gestures, such as waving goodbye, by 12 months of age.",cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Failure to Share Interests,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Failure to share interests with others (e.g., showing an object they like) by 15 months.",cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Failure to Point,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Does not point to show something interesting by 18 months.,cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Lack of Empathy,Social Communication,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Does not notice when others are hurt or upset by 24 months.,cureus-0015-00000043226.pdf,Listed as a key early sign by the CDC.
Stereotyped Motor Movements,Restricted/Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Repetitive motor movements such as hand-flapping, body rocking, or self-spinning.",cureus-0015-00000043226.pdf,Listed as a common repetitive behavior.
Insistence on Sameness,Restricted/Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']",Inflexible adherence to routines; ritualized patterns of verbal or nonverbal behavior; extreme distress at small changes.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for restricted/repetitive behaviors.
Highly Restricted Interests,Restricted/Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']",Preoccupation with one or more interests that is abnormal in intensity or focus.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for restricted/repetitive behaviors.
Repetitive Use of Objects,Restricted/Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']",Lining up toys; flipping objects; spinning wheels repetitively; playing with toys in the same way every time.,cureus-0015-00000043226.pdf,Listed as a common repetitive behavior.
Echolalia,Restricted/Repetitive Behaviors,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']","Repetition of words or phrases heard from others, immediately or later.",cureus-0015-00000043226.pdf,Listed as a common repetitive behavior.
Sensory Hyperreactivity,Sensory Processing,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']",Adverse response to specific sounds or textures; excessive smelling or touching of objects; visual fascination with lights or movement.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for restricted/repetitive behaviors.
Sensory Hyporeactivity,Sensory Processing,Restricted_Repetitive_Behaviors,"['B1_stereotyped_motor_or_speech', 'B2_insistence_on_sameness', 'B3_highly_restricted_interests', 'B4_hyper_hyporeactivity_sensory']",Apparent indifference to pain/temperature; lack of response to certain sounds; excessive visual examination of objects and people.,cureus-0015-00000043226.pdf,Part of the DSM-5 criteria for restricted/repetitive behaviors.
Loss of Language,Language & Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']","Loss of previously acquired speech, specifically the loss of at least five words used spontaneously and meaningfully for at least three months.",nihms224959.pdf,Defined by ADI-R criteria for regression.
Lack of Vocalizations,Language & Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']","Limited or absent cooing, babbling, or other nonverbal vocalizations in infancy.",nihms224959.pdf,"Measured as part of the ""vocalizations"" code."
Delayed Language Milestones,Language & Communication,Communication,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication']",Significant delays in the development of expressive and/or receptive language compared to developmental norms.,nihms224959.pdf,As measured by Mullen Scales and noted as a common challenge.
Developmental Plateau,Cognitive & Developmental Trajectory,Developmental_Trajectory,['developmental_regression_or_plateau'],"A period where development stagnates and fails to progress at the expected rate, without a clear loss of skills.",nihms224959.pdf,"A pattern noted in some parent reports, distinct from clear regression."
Slowing Cognitive Growth,Cognitive & Developmental Trajectory,Developmental_Trajectory,['developmental_regression_or_plateau'],"Raw scores on developmental tests (e.g., Mullen) continue to increase but at a significantly slower rate than typically developing peers.",nihms224959.pdf,Observed after 12 months of age in the ASD group.
Regression - Social Communication,Onset Pattern,Developmental_Trajectory,['developmental_regression_or_plateau'],"A clear loss of previously acquired social or communication skills, such as diminished eye contact, social interest, or engagement.",nihms224959.pdf,Can be prospectively observed via behavioral coding even when not reported by parents.
Early Onset,Onset Pattern,Developmental_Trajectory,['developmental_regression_or_plateau'],"Signs of autism are reported by parents to be present before the first birthday, with no period of typical development followed by regression.",nihms224959.pdf,A traditional onset category based on parent report.
Mixed Onset,Onset Pattern,Developmental_Trajectory,['developmental_regression_or_plateau'],"The presence of both early subtle signs of autism and a later, more clear loss of skills.",nihms224959.pdf,"A pattern suggested by some studies, challenging a simple dichotomy."
